t1,key1,t2,key2,reduce,time
20000,50,20000,100,5,28182
20000,50,20000,100,7,30234
20000,50,20000,100,9,32231
20000,50,20000,300,3,24238
20000,50,20000,300,5,28242
20000,50,20000,300,7,28492
20000,50,20000,300,9,30541
20000,100,20000,100,3,26202
20000,100,20000,100,5,28216
20000,100,20000,100,7,28306
20000,100,20000,100,9,30190
20000,100,20000,300,3,26857
20000,100,20000,300,5,28369
20000,100,20000,300,7,30204
20000,100,20000,300,9,32645
20000,300,20000,300,3,26242
20000,300,20000,300,5,28252
20000,300,20000,300,7,30211
20000,300,20000,300,9,30230
500000,5,5000,5,3,300253
500000,5,5000,5,5,222299
500000,5,5000,5,7,128272
500000,5,5000,5,9,128491
500000,5,20000,1,3,1798765
500000,5,20000,1,5,1835006
500000,5,20000,1,7,1846757
500000,5,20000,1,9,1678873
500000,5,20000,3,3,472154
500000,5,20000,3,5,562376
500000,5,20000,3,7,640445
500000,5,20000,3,9,650420
500000,5,20000,5,3,756427
500000,5,20000,5,5,408427
500000,5,20000,5,7,461986
500000,5,20000,5,9,410383
500000,5,20000,10,3,398379
500000,5,20000,10,5,218292
500000,5,20000,10,7,218287
500000,5,20000,10,9,224507
500000,5,20000,30,3,150482
500000,5,20000,30,5,92322
500000,5,20000,30,7,94241
500000,5,20000,30,9,92244
500000,5,20000,50,3,98233
500000,5,20000,50,5,66211
500000,5,20000,50,7,68865
500000,5,20000,50,9,70232
500000,5,20000,100,3,64227
500000,5,20000,100,5,48398
500000,5,20000,100,7,48472
500000,5,20000,100,9,50209
500000,5,20000,300,3,38261
500000,5,20000,300,5,34219
500000,5,20000,300,7,36205
500000,5,20000,300,9,36406
500000,5,50000,5,3,2763131
500000,5,50000,5,5,1952915
500000,5,50000,5,7,1022925
500000,5,50000,5,9,1030683
79265,15,79265,15,4,98140
79265,15,79265,15,6,80509
79265,15,79265,15,8,66254
79265,15,79265,15,10,68146
79265,15,79265,15,12,68146
79265,15,83273,13,4,114845
79265,15,83273,13,6,86136
79265,15,83273,13,8,72326
79265,15,83273,13,10,72216
79265,15,83273,13,12,78621
79265,15,94226,20,4,90154
79265,15,94226,20,6,72327
79265,15,94226,20,8,64144
79265,15,94226,20,10,64141
79265,15,94226,20,12,66125
79265,15,34779,10,4,58196
79265,15,34779,10,6,48137
79265,15,34779,10,8,48120
79265,15,34779,10,10,42130
79265,15,34779,10,12,42118
79265,15,68326,4,4,84370
79265,15,68326,4,6,86145
79265,15,68326,4,8,82148
79265,15,68326,4,10,84146
79265,15,68326,4,12,84800
79265,15,22320,18,4,38198
79265,15,22320,18,6,34133
79265,15,22320,18,8,34177
79265,15,22320,18,10,32132
79265,15,22320,18,12,38116
79265,15,54197,18,4,62142
79265,15,54197,18,6,56143
79265,15,54197,18,8,48125
79265,15,54197,18,10,48133
79265,15,54197,18,12,50158
79265,15,20000,1,4,88134
79265,15,20000,1,6,86134
79265,15,20000,1,8,89097
79265,15,20000,1,10,88270
79265,15,20000,1,12,88135
79265,15,20000,3,4,44117
79265,15,20000,3,6,42128
79265,15,20000,3,8,44113
79265,15,20000,3,10,44132
79265,15,20000,3,12,44125
79265,15,20000,5,4,46139
79265,15,20000,5,6,38117
79265,15,20000,5,8,36152
79265,15,20000,5,10,36130
79265,15,20000,5,12,38121
79265,15,20000,10,4,40133
79265,15,20000,10,6,38131
79265,15,20000,10,8,34133
79265,15,20000,10,10,36129
79265,15,20000,10,12,36146
79265,15,20000,30,4,28113
79265,15,20000,30,6,28128
79265,15,20000,30,8,28129
79265,15,20000,30,10,30146
79265,15,20000,30,12,30126
79265,15,20000,50,4,24129
79265,15,20000,50,6,26125
79265,15,20000,50,8,26113
79265,15,20000,50,10,28128
79265,15,20000,50,12,28124
79265,15,20000,100,4,22143
79265,15,20000,100,6,24121
79265,15,20000,100,8,26114
79265,15,20000,100,10,26128
79265,15,20000,100,12,26121
79265,15,20000,300,4,20127
79265,15,20000,300,6,22128
79265,15,20000,300,8,24122
79265,15,20000,300,10,26284
79265,15,20000,300,12,26128
79265,15,50000,5,4,204138
79265,15,50000,5,6,128135
79265,15,50000,5,8,208146
79265,15,50000,5,10,88125
79265,15,50000,5,12,132148
83273,13,83273,13,4,130126
83273,13,83273,13,6,102137
83273,13,83273,13,8,82219
83273,13,83273,13,10,84472
83273,13,83273,13,12,88142
83273,13,94226,20,4,102129
83273,13,94226,20,6,78121
83273,13,94226,20,8,66150
83273,13,94226,20,10,66116
83273,13,94226,20,12,76132
83273,13,34779,10,4,66127
83273,13,34779,10,6,54142
83273,13,34779,10,8,50406
83273,13,34779,10,10,44149
83273,13,34779,10,12,44196
83273,13,68326,4,4,94330
83273,13,68326,4,6,96123
83273,13,68326,4,8,98325
83273,13,68326,4,10,98458
83273,13,68326,4,12,96132
83273,13,22320,18,4,38123
83273,13,22320,18,6,34132
83273,13,22320,18,8,34134
83273,13,22320,18,10,36131
83273,13,22320,18,12,36179
83273,13,54197,18,4,72109
83273,13,54197,18,6,58134
83273,13,54197,18,8,50132
83273,13,54197,18,10,48132
83273,13,54197,18,12,56129
83273,13,20000,1,4,104412
83273,13,20000,1,6,104117
83273,13,20000,1,8,104119
83273,13,20000,1,10,106129
83273,13,20000,1,12,104125
83273,13,20000,3,4,48118
83273,13,20000,3,6,50129
83273,13,20000,3,8,50128
83273,13,20000,3,10,50128
83273,13,20000,3,12,48118
83273,13,20000,5,4,52127
83273,13,20000,5,6,42138
83273,13,20000,5,8,40131
83273,13,20000,5,10,42309
83273,13,20000,5,12,42135
83273,13,20000,10,4,46131
83273,13,20000,10,6,38603
83273,13,20000,10,8,38569
83273,13,20000,10,10,38145
83273,13,20000,10,12,38130
83273,13,20000,30,4,28115
83273,13,20000,30,6,28128
83273,13,20000,30,8,30126
83273,13,20000,30,10,30131
83273,13,20000,30,12,32189
83273,13,20000,50,4,26144
83273,13,20000,50,6,26106
83273,13,20000,50,8,26115
83273,13,20000,50,10,28128
83273,13,20000,50,12,28138
83273,13,20000,100,4,22159
83273,13,20000,100,6,24130
