t1,key1,t2,key2,reduce,time
5000,20,60000,3,30,36111
5000,20,60000,3,34,38107
5000,20,60000,3,36,40116
5000,20,65000,16,1,28104
5000,20,65000,16,10,28168
5000,20,65000,16,11,26120
5000,20,65000,16,16,30103
5000,20,65000,16,25,34118
5000,20,65000,16,30,38107
5000,20,65000,16,34,38165
5000,20,65000,16,37,40108
10000,14,10000,14,1,22164
10000,14,10000,14,7,24108
10000,14,10000,14,11,26103
10000,14,10000,14,20,32108
10000,14,10000,14,21,30097
10000,14,10000,14,26,32108
10000,14,10000,14,33,38117
10000,14,10000,14,39,42114
10000,14,15000,4,5,22107
10000,14,15000,4,6,22106
10000,14,15000,4,15,28098
10000,14,15000,4,16,28107
10000,14,15000,4,22,30105
10000,14,15000,4,28,34108
10000,14,15000,4,34,38109
10000,14,15000,4,40,40108
10000,14,20000,16,4,22108
10000,14,20000,16,9,26115
10000,14,20000,16,13,28103
10000,14,20000,16,19,32116
10000,14,20000,16,24,32106
10000,14,20000,16,26,34114
10000,14,20000,16,32,38109
10000,14,20000,16,38,40099
10000,14,25000,18,5,22106
10000,14,25000,18,9,26105
10000,14,25000,18,15,28109
10000,14,25000,18,17,30111
10000,14,25000,18,21,32102
10000,14,25000,18,27,36109
10000,14,25000,18,32,38117
10000,14,25000,18,38,42106
10000,14,30000,16,3,22102
10000,14,30000,16,6,24097
10000,14,30000,16,13,28107
10000,14,30000,16,17,30114
10000,14,30000,16,22,34104
10000,14,30000,16,29,36109
10000,14,30000,16,34,40108
10000,14,30000,16,36,40115
10000,14,35000,23,1,26108
10000,14,35000,23,10,26103
10000,14,35000,23,13,28106
10000,14,35000,23,20,30112
10000,14,35000,23,21,32097
10000,14,35000,23,26,34099
10000,14,35000,23,34,40163
10000,14,35000,23,38,42111
10000,14,40000,22,4,24120
10000,14,40000,22,6,24106
10000,14,40000,22,11,28100
10000,14,40000,22,19,32102
10000,14,40000,22,24,32109
10000,14,40000,22,28,34107
10000,14,40000,22,34,40108
10000,14,40000,22,39,42107
10000,14,45000,6,2,30117
10000,14,45000,6,7,26107
10000,14,45000,6,15,28109
10000,14,45000,6,16,30112
10000,14,45000,6,21,32107
10000,14,45000,6,29,36110
10000,14,45000,6,35,40115
10000,14,45000,6,37,40111
10000,14,50000,6,3,28120
10000,14,50000,6,6,28108
10000,14,50000,6,15,30106
10000,14,50000,6,20,32113
10000,14,50000,6,23,34729
10000,14,50000,6,30,38110
10000,14,50000,6,34,40112
10000,14,50000,6,39,42103
10000,14,55000,14,3,30095
10000,14,55000,14,6,28107
10000,14,55000,14,13,30115
10000,14,55000,14,17,32106
10000,14,55000,14,21,34120
10000,14,55000,14,29,36126
10000,14,55000,14,31,40100
10000,14,55000,14,38,42111
10000,14,60000,3,3,28109
10000,14,60000,3,8,30114
10000,14,60000,3,13,32110
10000,14,60000,3,19,32114
10000,14,60000,3,21,32109
10000,14,60000,3,28,38109
10000,14,60000,3,32,40114
10000,14,60000,3,36,42114
10000,14,65000,16,4,26108
10000,14,65000,16,10,28103
10000,14,65000,16,11,28162
10000,14,65000,16,16,32106
10000,14,65000,16,21,34108
10000,14,65000,16,29,40109
10000,14,65000,16,31,40117
10000,14,65000,16,37,40097
15000,4,15000,4,3,34118
15000,4,15000,4,7,32105
15000,4,15000,4,14,32112
15000,4,15000,4,17,32111
15000,4,15000,4,25,36113
15000,4,15000,4,27,38168
15000,4,15000,4,31,40108
15000,4,15000,4,36,42104
15000,4,20000,16,3,24104
15000,4,20000,16,6,24120
15000,4,20000,16,12,26109
15000,4,20000,16,17,28104
15000,4,20000,16,24,34112
15000,4,20000,16,30,36106
15000,4,20000,16,33,38119
15000,4,20000,16,36,38110
15000,4,25000,18,4,24109
15000,4,25000,18,6,24107
15000,4,25000,18,12,26097
15000,4,25000,18,16,30104
15000,4,25000,18,21,32101
15000,4,25000,18,28,38125
15000,4,25000,18,35,38112
15000,4,25000,18,39,42114
15000,4,30000,16,5,26102
15000,4,30000,16,10,28112
15000,4,30000,16,15,30103
15000,4,30000,16,18,30100
15000,4,30000,16,23,32110
15000,4,30000,16,28,36116
15000,4,30000,16,34,40115
15000,4,30000,16,37,40113
15000,4,35000,23,2,28108
15000,4,35000,23,6,26119
15000,4,35000,23,12,26117
15000,4,35000,23,18,30116
15000,4,35000,23,21,34742
15000,4,35000,23,27,36117
15000,4,35000,23,31,38117
15000,4,35000,23,37,40112
15000,4,40000,22,4,26106
15000,4,40000,22,8,26110
15000,4,40000,22,12,26118
15000,4,40000,22,17,30104
15000,4,40000,22,22,32107
15000,4,40000,22,27,36091
15000,4,40000,22,32,38130
15000,4,40000,22,40,42127
15000,4,45000,6,4,38113
15000,4,45000,6,7,42105
15000,4,45000,6,15,42107
15000,4,45000,6,17,42113
15000,4,45000,6,22,42111
15000,4,45000,6,30,44123
15000,4,45000,6,35,46121
15000,4,45000,6,38,44109
15000,4,50000,6,4,40110
15000,4,50000,6,9,44114
15000,4,50000,6,14,44108
15000,4,50000,6,16,44108
15000,4,50000,6,25,46114
15000,4,50000,6,30,48116
15000,4,50000,6,31,46115
15000,4,50000,6,39,48114
15000,4,55000,14,4,32166
15000,4,55000,14,9,32118
15000,4,55000,14,12,32114
15000,4,55000,14,16,34108
15000,4,55000,14,21,34107
15000,4,55000,14,28,38120
15000,4,55000,14,35,42109
15000,4,55000,14,40,46123
15000,4,60000,3,3,70120
15000,4,60000,3,9,72103
15000,4,60000,3,13,72115
15000,4,60000,3,19,72392
15000,4,60000,3,21,76135
15000,4,60000,3,28,76112
15000,4,60000,3,34,74115
15000,4,60000,3,36,76135
15000,4,65000,16,3,38107
15000,4,65000,16,9,34111
15000,4,65000,16,11,32109
15000,4,65000,16,16,36109
15000,4,65000,16,23,36110
15000,4,65000,16,27,40115
15000,4,65000,16,31,42126
15000,4,65000,16,36,44109
20000,16,20000,16,2,26110
20000,16,20000,16,7,26108
20000,16,20000,16,12,26115
20000,16,20000,16,17,30114
20000,16,20000,16,24,34101
20000,16,20000,16,29,36109
20000,16,20000,16,33,40124
20000,16,20000,16,37,40172
20000,16,25000,18,3,26107
20000,16,25000,18,6,24129
20000,16,25000,18,15,30111
20000,16,25000,18,17,32110
20000,16,25000,18,23,34119
20000,16,25000,18,26,34107
20000,16,25000,18,31,38110
20000,16,25000,18,36,42121
20000,16,30000,16,5,26110
20000,16,30000,16,10,26126
20000,16,30000,16,15,32110
20000,16,30000,16,19,32116
20000,16,30000,16,23,34119
20000,16,30000,16,30,40108
20000,16,30000,16,34,40120
20000,16,30000,16,38,42116
20000,16,35000,23,5,26113
20000,16,35000,23,6,26112
20000,16,35000,23,13,28103
20000,16,35000,23,19,32126
20000,16,35000,23,22,34112
20000,16,35000,23,27,36105
20000,16,35000,23,32,40136
20000,16,35000,23,37,40123
20000,16,40000,22,5,26103
20000,16,40000,22,10,28116
20000,16,40000,22,14,30115
20000,16,40000,22,18,32115
20000,16,40000,22,23,34117
20000,16,40000,22,26,38111
20000,16,40000,22,31,40112
20000,16,40000,22,36,40110
20000,16,45000,6,5,32116
20000,16,45000,6,8,28232
20000,16,45000,6,12,30115
20000,16,45000,6,20,36121
20000,16,45000,6,22,34101
20000,16,45000,6,27,36106
20000,16,45000,6,32,40132
20000,16,45000,6,37,42117
20000,16,50000,6,4,34112
20000,16,50000,6,10,30109
20000,16,50000,6,14,32114
20000,16,50000,6,16,32109
20000,16,50000,6,25,36111
20000,16,50000,6,26,38108
20000,16,50000,6,34,42106
20000,16,50000,6,38,44117
20000,16,55000,14,4,34114
20000,16,55000,14,6,30105
20000,16,55000,14,12,34120
20000,16,55000,14,16,32113
20000,16,55000,14,22,36118
20000,16,55000,14,28,40144
20000,16,55000,14,33,42111
20000,16,55000,14,39,46113
20000,16,60000,3,1,68118
20000,16,60000,3,9,38115
20000,16,60000,3,14,38094
20000,16,60000,3,20,38118
20000,16,60000,3,22,40111
20000,16,60000,3,26,40112
20000,16,60000,3,33,42117
20000,16,60000,3,37,44117
20000,16,65000,16,1,72122
20000,16,65000,16,6,32113
20000,16,65000,16,11,34115
20000,16,65000,16,16,36114
20000,16,65000,16,24,38137
20000,16,65000,16,28,40118
20000,16,65000,16,35,44124
20000,16,65000,16,36,44104
25000,18,25000,18,5,24112
25000,18,25000,18,9,26117
25000,18,25000,18,13,30114
25000,18,25000,18,20,32167
25000,18,25000,18,21,34122
25000,18,25000,18,26,36117
25000,18,25000,18,31,38114
25000,18,25000,18,37,42136
25000,18,30000,16,5,26117
25000,18,30000,16,8,28102
25000,18,30000,16,11,28105
25000,18,30000,16,18,30108
25000,18,30000,16,22,34116
25000,18,30000,16,30,38112
25000,18,30000,16,32,40106
25000,18,30000,16,39,44106
25000,18,35000,23,5,26107
25000,18,35000,23,6,28111
25000,18,35000,23,15,32114
25000,18,35000,23,16,30119
25000,18,35000,23,23,36110
25000,18,35000,23,27,38119
25000,18,35000,23,33,40104
25000,18,35000,23,40,42117
25000,18,40000,22,4,28179
25000,18,40000,22,7,28116
25000,18,40000,22,15,32106
25000,18,40000,22,20,34159
25000,18,40000,22,23,36120
25000,18,40000,22,28,38115
25000,18,40000,22,31,40116
25000,18,40000,22,38,44119
25000,18,45000,6,1,58122
25000,18,45000,6,8,30106
25000,18,45000,6,14,32107
25000,18,45000,6,19,32116
25000,18,45000,6,25,36116
25000,18,45000,6,29,40110
25000,18,45000,6,31,40118
25000,18,45000,6,37,44113
25000,18,50000,6,1,64112
25000,18,50000,6,7,32121
25000,18,50000,6,12,32122
25000,18,50000,6,16,32112
25000,18,50000,6,25,38115
25000,18,50000,6,26,38114
25000,18,50000,6,35,42116
25000,18,50000,6,40,46154
25000,18,55000,14,4,32114
25000,18,55000,14,6,32156
25000,18,55000,14,12,34111
25000,18,55000,14,20,36125
25000,18,55000,14,25,38153
25000,18,55000,14,27,40124
25000,18,55000,14,35,42108
25000,18,55000,14,40,46117
25000,18,60000,3,5,40113
25000,18,60000,3,8,40164
25000,18,60000,3,11,40109
25000,18,60000,3,20,42123
25000,18,60000,3,21,44115
25000,18,60000,3,27,42110
25000,18,60000,3,32,46139
25000,18,60000,3,39,44140
25000,18,65000,16,3,42110
25000,18,65000,16,7,32117
25000,18,65000,16,13,36103
25000,18,65000,16,18,36106
25000,18,65000,16,22,36117
25000,18,65000,16,29,42111
25000,18,65000,16,31,44132
25000,18,65000,16,37,46122
30000,16,30000,16,2,38124
30000,16,30000,16,9,30123
30000,16,30000,16,13,32122
30000,16,30000,16,19,34116
30000,16,30000,16,23,36123
30000,16,30000,16,28,40126
30000,16,30000,16,35,42173
30000,16,30000,16,36,44119
30000,16,35000,23,3,30110
30000,16,35000,23,9,28108
30000,16,35000,23,15,32121
30000,16,35000,23,20,32119
30000,16,35000,23,22,36112
30000,16,35000,23,27,36107
30000,16,35000,23,35,40111
30000,16,35000,23,36,42119
30000,16,40000,22,2,38115
30000,16,40000,22,9,30111
30000,16,40000,22,14,32104
30000,16,40000,22,16,34111
30000,16,40000,22,23,36111
30000,16,40000,22,26,38187
30000,16,40000,22,32,40118
30000,16,40000,22,38,44113
30000,16,45000,6,3,38128
30000,16,45000,6,9,34415
30000,16,45000,6,15,36400
30000,16,45000,6,17,36116
30000,16,45000,6,21,36127
30000,16,45000,6,27,40114
30000,16,45000,6,33,42108
30000,16,45000,6,38,44117
30000,16,50000,6,5,40111
30000,16,50000,6,9,34110
30000,16,50000,6,14,40115
30000,16,50000,6,20,36119
30000,16,50000,6,25,38106
30000,16,50000,6,27,40413
30000,16,50000,6,32,44123
30000,16,50000,6,36,44107
30000,16,55000,14,1,86117
30000,16,55000,14,8,34113
30000,16,55000,14,11,40117
30000,16,55000,14,18,38120
30000,16,55000,14,24,42120
30000,16,55000,14,29,42111
30000,16,55000,14,35,46119
30000,16,55000,14,39,48119
30000,16,60000,3,1,92119
30000,16,60000,3,8,46136
30000,16,60000,3,11,46127
30000,16,60000,3,16,46114
30000,16,60000,3,24,50110
30000,16,60000,3,26,48110
30000,16,60000,3,34,52115
30000,16,60000,3,39,52114
30000,16,65000,16,5,38124
30000,16,65000,16,10,36119
30000,16,65000,16,13,40136
30000,16,65000,16,20,40113
30000,16,65000,16,22,42113
30000,16,65000,16,29,44151
30000,16,65000,16,32,46114
30000,16,65000,16,40,50118
35000,23,35000,23,5,26113
35000,23,35000,23,9,30119
35000,23,35000,23,13,32122
35000,23,35000,23,20,34124
35000,23,35000,23,22,36117
35000,23,35000,23,28,38113
35000,23,35000,23,34,42118
35000,23,35000,23,37,42126
35000,23,40000,22,4,32117
35000,23,40000,22,7,30114
35000,23,40000,22,15,32109
35000,23,40000,22,17,34115
35000,23,40000,22,21,36111
35000,23,40000,22,26,38115
35000,23,40000,22,35,44136
35000,23,40000,22,36,44135
35000,23,45000,6,1,64127
35000,23,45000,6,9,32115
35000,23,45000,6,15,34122
35000,23,45000,6,18,34123
35000,23,45000,6,24,36127
35000,23,45000,6,27,38115
35000,23,45000,6,32,42111
35000,23,45000,6,37,44113
35000,23,50000,6,2,44123
35000,23,50000,6,8,32116
35000,23,50000,6,14,36112
35000,23,50000,6,18,34111
35000,23,50000,6,21,34111
35000,23,50000,6,28,40132
35000,23,50000,6,31,42119
35000,23,50000,6,39,44121
35000,23,55000,14,3,40131
35000,23,55000,14,6,32117
35000,23,55000,14,14,36123
35000,23,55000,14,18,38118
35000,23,55000,14,23,38107
35000,23,55000,14,30,40119
35000,23,55000,14,31,42109
35000,23,55000,14,38,46122
35000,23,60000,3,3,40111
35000,23,60000,3,6,42122
35000,23,60000,3,15,44123
35000,23,60000,3,16,42124
35000,23,60000,3,24,44111
35000,23,60000,3,28,44104
35000,23,60000,3,34,44116
35000,23,60000,3,37,46112
35000,23,65000,16,3,42113
35000,23,65000,16,8,34112
35000,23,65000,16,13,36112
35000,23,65000,16,16,36115
35000,23,65000,16,21,38110
35000,23,65000,16,30,44117
35000,23,65000,16,33,44124
35000,23,65000,16,37,46122
40000,22,40000,22,5,30115
40000,22,40000,22,9,30117
40000,22,40000,22,13,34178
40000,22,40000,22,19,36120
40000,22,40000,22,24,38122
40000,22,40000,22,26,40125
40000,22,40000,22,32,42123
40000,22,40000,22,37,44127
40000,22,45000,6,4,38118
40000,22,45000,6,8,34116
40000,22,45000,6,15,36116
40000,22,45000,6,20,36112
40000,22,45000,6,22,36120
40000,22,45000,6,26,38117
40000,22,45000,6,31,42132
40000,22,45000,6,38,46193
40000,22,50000,6,2,50115
40000,22,50000,6,10,34122
40000,22,50000,6,13,38112
40000,22,50000,6,20,36113
40000,22,50000,6,25,38123
40000,22,50000,6,30,42124
40000,22,50000,6,34,44128
40000,22,50000,6,39,48670
40000,22,55000,14,1,86122
40000,22,55000,14,10,34117
40000,22,55000,14,15,38122
40000,22,55000,14,20,40126
40000,22,55000,14,25,40114
40000,22,55000,14,28,42124
40000,22,55000,14,35,50126
40000,22,55000,14,39,48129
40000,22,60000,3,1,92118
40000,22,60000,3,8,46130
40000,22,60000,3,11,48732
40000,22,60000,3,17,48123
40000,22,60000,3,22,50117
40000,22,60000,3,29,52118
40000,22,60000,3,34,52130
40000,22,60000,3,38,52164
40000,22,65000,16,5,38114
40000,22,65000,16,6,36121
40000,22,65000,16,15,40115
40000,22,65000,16,20,42126
40000,22,65000,16,21,40111
40000,22,65000,16,27,42147
40000,22,65000,16,32,48122
40000,22,65000,16,40,50110
45000,6,45000,6,4,96123
45000,6,45000,6,6,64126
45000,6,45000,6,13,64141
45000,6,45000,6,16,64205
45000,6,45000,6,23,64126
45000,6,45000,6,26,68123
45000,6,45000,6,31,68128
45000,6,45000,6,39,68129
45000,6,50000,6,1,268140
45000,6,50000,6,10,68119
45000,6,50000,6,14,70118
45000,6,50000,6,17,70116
45000,6,50000,6,24,70124
45000,6,50000,6,28,74475
45000,6,50000,6,33,72125
45000,6,50000,6,37,79311
45000,6,55000,14,5,56118
45000,6,55000,14,10,44113
45000,6,55000,14,15,46124
45000,6,55000,14,20,46125
45000,6,55000,14,22,48129
45000,6,55000,14,26,48128
45000,6,55000,14,35,50118
45000,6,55000,14,38,54127
45000,6,60000,3,3,126121
45000,6,60000,3,8,124125
45000,6,60000,3,11,126125
45000,6,60000,3,17,128124
45000,6,60000,3,23,126113
45000,6,60000,3,28,132131
45000,6,60000,3,32,132144
45000,6,60000,3,36,132126
45000,6,65000,16,4,60120
45000,6,65000,16,8,46129
45000,6,65000,16,15,46122
45000,6,65000,16,19,46122
45000,6,65000,16,21,46116
45000,6,65000,16,27,52124
45000,6,65000,16,32,50121
45000,6,65000,16,37,52120
50000,6,50000,6,1,300144
50000,6,50000,6,8,70117
50000,6,50000,6,11,70129
50000,6,50000,6,18,74138
50000,6,50000,6,25,76129
50000,6,50000,6,27,74130
50000,6,50000,6,32,76194
50000,6,50000,6,37,78289
50000,6,55000,14,3,64120
50000,6,55000,14,8,46128
50000,6,55000,14,15,48132
50000,6,55000,14,20,50117
50000,6,55000,14,25,50124
50000,6,55000,14,29,50128
50000,6,55000,14,35,54118
50000,6,55000,14,38,52127
50000,6,60000,3,2,244137
50000,6,60000,3,6,142136
50000,6,60000,3,15,142124
50000,6,60000,3,18,140131
50000,6,60000,3,22,142128
50000,6,60000,3,29,144127
50000,6,60000,3,32,140216
50000,6,60000,3,36,142127
50000,6,65000,16,2,88131
50000,6,65000,16,10,48122
50000,6,65000,16,14,50209
50000,6,65000,16,20,50122
50000,6,65000,16,22,48127
50000,6,65000,16,27,52136
50000,6,65000,16,35,52122
50000,6,65000,16,38,54130
55000,14,55000,14,3,70129
55000,14,55000,14,9,44126
55000,14,55000,14,15,52127
55000,14,55000,14,16,50532
55000,14,55000,14,24,52431
55000,14,55000,14,27,54125
55000,14,55000,14,35,56136
55000,14,55000,14,38,58638
55000,14,60000,3,3,72110
55000,14,60000,3,8,76122
55000,14,60000,3,12,76393
55000,14,60000,3,18,82117
55000,14,60000,3,25,76119
55000,14,60000,3,26,76122
55000,14,60000,3,33,84123
55000,14,60000,3,37,80132
55000,14,65000,16,4,64129
55000,14,65000,16,7,46354
55000,14,65000,16,13,50118
55000,14,65000,16,19,52178
55000,14,65000,16,21,50298
55000,14,65000,16,30,54128
55000,14,65000,16,35,56122
55000,14,65000,16,39,60127
60000,3,60000,3,1,866164
60000,3,60000,3,9,312143
60000,3,60000,3,13,312142
60000,3,60000,3,17,316141
60000,3,60000,3,22,316134
60000,3,60000,3,29,314138
60000,3,60000,3,32,325618
60000,3,60000,3,40,314367
60000,3,65000,16,3,74128
60000,3,65000,16,10,76126
60000,3,65000,16,15,76121
60000,3,65000,16,20,80814
60000,3,65000,16,24,78123
60000,3,65000,16,29,82128
60000,3,65000,16,35,82131
60000,3,65000,16,40,78134
65000,16,65000,16,1,202135
65000,16,65000,16,9,48124
65000,16,65000,16,15,54134
65000,16,65000,16,19,56134
65000,16,65000,16,21,54129
65000,16,65000,16,28,56131
65000,16,65000,16,35,60127
65000,16,65000,16,39,60126
